Country,Latitude,Longitude,Battle,Year,Winner,Loser,War_homogenized,Participants_homogenized
Germany,50.7753455,6.0838868,Aachen,1944,United States,Germany,World War II,"['Azerbaijan', 'Germany', ' Turkey']"
Latvia,56.8206989,23.5755013,Aa River,1917,Germany,Russia,World War I,"['Germany', 'Russia', 'China']"
Iran,30.347296,48.2934004,Abadan,1980,Draw,Draw,Iran-Iraq War,"['Madagascar', 'Iraq', 'Iran']"
Iran,30.347296,48.2934004,Abadan,1981,Iran,Iraq,Iran-Iraq War,"['Sudan', 'Iran', 'Iraq']"
Nigeria,6.1864553,6.9799755,Abagana,1968,Biafran Rebels,Nigeria,Biafran War,['Ghana']
Ghana,5.245212,-1.230904,Abakrampa,1873,United Kingdom,Ashanti,British-Ashanti War,"['Eritrea', 'Ghana', 'Russia']"
Iran,36.7240776,51.1141183,Abbasabad,1827,Russia,Persia,Russo-Persian Wars,"['Russia', 'Serbia']"
Chad,13.8359124,20.8433709,Abeche,1983,Chad,Chadian Rebels,Chad Civil War,"['Libya', 'Chad']"
Germany,48.8177181,11.8507867,Abensberg,1809,France,Austria,Napoleonic War 5th Coalition,"['Slovenia', ' France', 'Spain', 'Bulgaria', 'Austria']"
Kenya,-0.4145514,36.6661998,"Aberdare, Kenya",1955,Draw,Draw,Mau Mau War,['Kenya']
Kenya,-0.4145514,36.6661998,"Aberdare, Kenya",1955,Mau Mau,United Kingdom,Mau Mau War,"['Kenya', 'Eritrea']"
Benin,7.1854773,1.9979411,Abomey,1892,France,Dahomey,Dahomean War,['France']
Egypt,31.3114241,30.0603342,Aboukir,1801,"United Kingdom, Ottoman Empire",France,French Revolutionary Wars,"['France', 'Eritrea', 'Djibouti', ' France', 'Albania']"
Egypt,30.83783,34.1133,Abu Ageila,1956,Israel,Egypt,Sinai War,"['Iran', 'Israel', ' Egypt', 'China']"
Egypt,30.83783,34.1133,Abu Ageila,1967,Israel,Egypt,Six Day War,"['Iran', 'Israel', ' Egypt']"
Sudan,19.5253379,33.2798188,Abu Hamed,1897,United Kingdom,Sudanese Mahdists,British-Sudan War,"['Eritrea', 'Sudan']"
